#{"t_start": 1744127852.3447914, "env_id": "None"}
r,l,t
27.99996,200,639.629725
29.499977,200,640.297672
27.999966,200,640.932002
51.000305,200,641.612614
46.000122,200,642.346111
34.500202,200,643.169662
15.499982,200,644.035639
11.999965,200,644.851022
45.499977,200,645.561464
31.999968,200,646.325884
12.99996,200,647.026668
12.499962,200,647.729671
30.49997,200,648.407643
42.99997,200,660.776397
31.00006,200,661.466647
35.50017,200,662.199513
31.500038,200,662.843658
162.79004,121,663.257786
65.500244,200,664.007418
27.499956,200,664.747999
26.499964,200,665.421974
28.49996,200,666.057742
26.499956,200,666.693738
28.49996,200,667.319514
28.999968,200,667.98139
67.49982,200,668.617706
28.49996,200,669.30549
28.999975,200,670.028003
36.000202,200,670.693492
55.00029,200,671.356014
27.49996,200,671.992795
162.46004,154,672.435486
28.499966,200,673.019744
163.77013,173,673.553766
44.999966,200,684.095686
28.99996,200,684.723785
44.50022,200,685.483962
27.499954,200,686.206182
28.999966,200,686.906401
32.50003,200,687.580595
27.49996,200,688.300714
162.64006,186,689.111678
44.500164,200,689.6859
28.99996,200,690.923225
55.00019,200,691.782534
29.499958,200,692.899787
12.999972,200,693.649643
27.499956,200,694.51662
161.71002,179,695.211753
27.999964,200,696.343697
74.9999,200,696.982887
32.00004,200,697.553344
28.49996,200,698.149662
49.500233,200,698.80352
12.49997,200,699.438292
28.49996,200,711.031965
43.000122,200,711.631904
45.000202,200,712.23563
44.499977,200,712.912488
163.50002,100,713.231453
164.58018,192,713.847951
47.000153,200,714.442692
69.0001,200,715.044199
28.499956,200,715.667045
47.00017,200,716.226208
44.500027,200,717.176806
44.500137,200,718.077704
28.999962,200,719.00701
28.499964,200,719.823694
11.499994,200,720.659822
33.000095,200,721.519584
26.99996,200,722.827807
11.499973,200,723.955885
161.76003,174,724.533837
45.500206,200,725.164617
44.500214,200,725.78486
43.500175,200,737.749775
52.50022,200,739.009512
55.00027,200,739.872772
68.00002,200,740.549423
163.5001,150,741.059618
44.50026,200,741.662106
27.99996,200,742.288044
161.7301,177,742.810696
45.500065,200,743.44674
44.000175,200,744.073295
44.000076,200,744.653302
68.999916,200,745.254211
181.37993,112,745.618004
49.50006,200,746.225633
12.999965,200,746.829569
27.999968,200,747.423972
26.49996,200,748.098234
44.500004,200,748.95587
45.500042,200,749.653448
29.499958,200,750.308838
12.999988,200,750.911912
28.999958,200,761.45305
30.499964,200,762.070714
29.499958,200,762.667761
29.999987,200,763.379607
46.99998,200,763.979753
44.50013,200,764.579744
29.499971,200,765.189528
10.999985,200,765.837489
11.5,200,766.44656
46.000114,200,767.01543
50.000095,200,767.616066
44.00007,200,768.230734
68.0002,200,768.862658
45.000008,200,769.483525
29.999985,200,770.091464
12.499966,200,770.72648
46.000168,200,771.335498
29.499962,200,771.941658
184.60985,189,772.535772
44.500156,200,773.154573
43.000076,200,773.777645
29.999956,200,785.209416
45.00014,200,785.878428
47.000187,200,786.487851
44.00009,200,787.129708
12.499975,200,787.773139
29.49996,200,788.396597
28.49996,200,789.059548
15.999981,200,789.717934
44.499958,200,790.37271
34.00003,200,791.023618
45.500042,200,791.671988
46.49998,200,792.293357
37.000027,200,792.997683
72.000084,200,794.107366
45.500214,200,794.827721
164.14001,186,795.48552
46.50002,200,796.117868
14.49996,200,796.719822
29.49998,200,797.289829
48.000195,200,797.871454
28.499966,200,808.073621
11.999979,200,809.111668
12.999986,200,809.731839
31.499985,200,810.371571
27.99996,200,810.999733
28.999956,200,811.579696
45.500057,200,812.167463
27.999977,200,812.760664
162.95004,105,813.073669
28.999966,200,813.650597
45.50004,200,814.236794
28.999966,200,814.849546
45.00004,200,815.445576
161.77005,173,815.941783
47.50001,200,816.531498
27.999964,200,817.108668
27.499971,200,817.613323
67.49997,200,818.309701
41.499992,200,818.93585
29.999958,200,819.553821
14.499962,200,820.116405
44.00016,200,830.857222
11.499981,200,831.842739
43.500114,200,832.484632
50.000202,200,833.104686
27.999954,200,833.595396
26.99998,200,834.227382
27.999973,200,834.819523
46.500034,200,835.454068
28.499956,200,836.039883
12.499967,200,836.640559
28.999958,200,837.323678
31.999977,200,837.951583
16.499977,200,838.583525
26.499975,200,839.189492
28.499956,200,839.822696
45.000072,200,840.430631
9.999961,200,841.063834
45.000046,200,841.670576
45.00015,200,842.210603
11.499954,200,842.934322
162.55008,195,843.583464
44.99999,200,853.585995
45.500256,200,854.181874
13.999989,200,854.80163
44.000134,200,855.381853
45.500137,200,855.981923
165.56009,94,856.277764
51.00004,200,856.93058
45.500175,200,857.563688
44.499985,200,858.19571
27.999962,200,858.829799
38.00014,200,859.41306
14.499978,200,860.005629
13.99996,200,860.569649
161.2401,176,861.11705
162.89008,111,861.479747
25.99996,200,862.120657
12.499976,200,862.774848
45.500134,200,863.436687
65.99998,200,864.045741
-0.99999833,200,864.719727
10.999961,200,865.38558
45.000168,200,874.845605
162.4101,159,875.391622
68.50009,200,876.105597
48.500156,200,876.775515
163.56,144,877.299583
27.999958,200,878.097583
68.49988,200,878.763526
11.499987,200,879.4655
26.999962,200,880.269519
44.000084,200,881.114604
46.499958,200,881.797352
13.499998,200,882.600612
12.499967,200,883.421724
48.000122,200,884.09966
28.999964,200,884.711754
162.09003,191,885.331644
26.99998,200,885.967688
44.50006,200,886.584868
45.000103,200,887.213163
28.499968,200,887.857
35.000008,200,888.423934
45.000046,200,899.387536
13.499973,200,899.985892
48.00003,200,900.689443
65.49981,200,901.3495
26.999971,200,902.011368
44.000145,200,902.659374
46.000042,200,903.272545
42.99999,200,903.915964
66.99997,200,904.547222
163.48007,102,904.873617
27.99997,200,905.569718
43.500034,200,906.208055
42.999985,200,906.85399
161.26004,174,907.397515
49.00026,200,908.060562
12.999975,200,908.68263
42.50012,200,909.349657
161.76009,124,909.767402
44.00016,200,910.405844
26.499956,200,911.053666
10.99999,200,911.75781
45.000122,200,912.412084
45.50011,200,922.687515
31.50007,200,923.331563
163.69003,131,923.763502
10.999967,200,924.453837
47.000107,200,925.175506
67.99993,200,925.829844
52.000298,200,926.54362
28.499973,200,927.234874
161.75003,175,927.859577
28.499964,200,928.556573
161.78998,171,929.177662
46.000053,200,929.867453
42.5001,200,930.58583
13.499968,200,931.264618
46.00022,200,931.91782
29.999977,200,932.595732
54.00015,200,933.253641
69.50014,200,933.946121
10.999989,200,934.621343
25.999958,200,935.283377
70.49986,200,935.903716
46.000042,200,947.16556
44.500137,200,947.811574
36.000034,200,948.47264
44.000023,200,949.1446
28.499983,200,949.807548
163.56006,144,950.281761
67.49995,200,950.926807
45.00013,200,951.518554
64.50001,200,952.166242
45.000008,200,952.814549
164.56006,94,953.111418
86.00013,200,953.795674
29.49996,200,954.441831
11.49997,200,955.063996
25.499962,200,955.720434
28.499975,200,956.364798
10.999966,200,957.015655
45.50011,200,957.67797
15.4999695,200,958.330875
52.000175,200,958.99958
26.99997,200,959.657885
165.49005,151,960.182714
52.50015,200,971.070743
162.60008,90,971.353652
45.000114,200,971.923787
16.499983,200,972.623615
29.999962,200,973.283572
29.499964,200,973.953761
67.49987,200,974.601618
162.62003,188,975.193566
49.499992,200,975.821671
51.00018,200,976.461375
46.50003,200,977.09143
-1.4999981,200,977.689584
162.05,195,978.303579
43.50007,200,978.947649
161.41,109,979.301802
162.95006,155,979.795562
15.999971,200,980.448482
162.55008,95,980.735392
44.000057,200,981.374561
46.000046,200,981.999615
11.99996,200,982.641665
15.499977,200,983.277734
47.500023,200,994.093853
44.999985,200,994.740484
44.000095,200,995.393759
67.49993,200,996.039825
11.499967,200,996.713972
28.999968,200,997.36178
52.000027,200,998.008021
43.500103,200,998.620552
164.07008,143,999.071463
69.50004,200,999.711818
27.49996,200,1000.32191
27.999962,200,1000.965458
28.99996,200,1001.623659
16.499962,200,1002.27336
44.500122,200,1002.941899
45.50003,200,1003.587288
11.99996,200,1004.175692
49.500027,200,1004.857161
27.999971,200,1005.499372
48.00002,200,1006.119537
45.500153,200,1006.772588
27.999975,200,1018.555675
26.499954,200,1019.460938
12.499969,200,1020.149406
92.0001,200,1020.755589
27.499956,200,1021.389578
43.000046,200,1022.054508
44.5,200,1022.745988
11.499974,200,1023.367289
45.00016,200,1024.02181
45.500008,200,1024.685926
-1.4999986,200,1025.33187
162.29012,171,1025.896733
12.999958,200,1026.545455
46.000042,200,1027.199731
45.000095,200,1027.873895
49.00009,200,1028.531345
162.79004,71,1028.761807
67.999985,200,1029.412518
26.499954,200,1030.063607
28.49998,200,1030.6895
